127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/static/images/read2-img.png, HTTP/1.1, 304, 0.000282
127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/static/images/container-bg.gif, HTTP/1.1, 304, 0.001388
127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/static/images/nav-li-bg.png, HTTP/1.1, 304, 0.000426
127.0.0.1, 2015-11-20 23:54:08, GET, /IIIT_placement/static/images/nav-bg.jpg, HTTP/1.1, 304, 0.001624
127.0.0.1, 2015-11-20 23:54:12, GET, /IIIT_placement/tpo/home, HTTP/1.1, 303, 0.058018
127.0.0.1, 2015-11-20 23:54:12, GET, /IIIT_placement/default/user/login, HTTP/1.1, 200, 0.462665
127.0.0.1, 2015-11-20 23:54:12, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.001006
127.0.0.1, 2015-11-20 23:54:13, GET, /IIIT_placement/default/static/images/container-bg.gif, HTTP/1.1, 404, 0.643695
127.0.0.1, 2015-11-20 23:54:36, POST, /IIIT_placement/default/user/login, HTTP/1.1, 303, 0.518641
127.0.0.1, 2015-11-20 23:54:36, GET, /IIIT_placement/tpo/home, HTTP/1.1, 200, 0.092503
127.0.0.1, 2015-11-20 23:54:36, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2015-11-20 23:55:29, GET, /IIIT_placement/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000643
127.0.0.1, 2015-11-20 23:55:31, GET, /IIIT_placement/default/user/logout, HTTP/1.1, 303, 0.707001
127.0.0.1, 2015-11-20 23:55:32, GET, /IIIT_placement/default/index, HTTP/1.1, 200, 0.910495
127.0.0.1, 2015-11-20 23:55:32, GET, /IIIT_placement/static/js/share.js, HTTP/1.1, 304, 0.000515
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/default/edit/IIIT_placement/controllers/tpo.py, HTTP/1.1, 200, 0.055537
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000619
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001755
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003891
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003990
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002502
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002712
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000710
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.010644
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000461
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000836
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000655
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.007683
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001204
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.007273
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001039
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.005066
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001608
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002087
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001227
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002131
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001674
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.004179
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001554
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002671
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001109
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002339
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000698
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/js/ajax_editor.js, HTTP/1.1, 200, 0.002415
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003052
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002481
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001513
127.0.0.1, 2015-11-21 00:03:22, GET, /admin/static/_2.12.3/js/typeahead.min.js, HTTP/1.1, 200, 0.001129
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000564
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/static/_2.12.3/images/files_toggle.png, HTTP/1.1, 200, 0.000434
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/default/edit/IIIT_placement/controllers/tpo.py, HTTP/1.1, 200, 0.066405
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.002221
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.069661
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.125364
127.0.0.1, 2015-11-21 00:03:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.159159
127.0.0.1, 2015-11-21 00:03:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.602069
127.0.0.1, 2015-11-21 00:03:24, GET, /IIIT_placement/appadmin/hooks, HTTP/1.1, 200, 0.795451
127.0.0.1, 2015-11-21 00:03:27, GET, /admin/default/edit/IIIT_placement/views/tpo/home.html, HTTP/1.1, 200, 0.052561
127.0.0.1, 2015-11-21 00:03:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.017755
127.0.0.1, 2015-11-21 00:04:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154800
